accuracy,racers_num,wpm,time,game_num,points
0.96,5,66.36,2021-07-20T12:57:14Z,2581,53.09
0.96,4,66.22,2021-07-20T12:39:13Z,2580,56.29
0.96,5,69.77,2021-07-20T12:38:10Z,2579,52.32
0.95,5,68.3,2021-07-20T12:37:19Z,2578,40.98
0.95,5,67.5,2021-07-20T11:21:10Z,2577,49.5
0.94,5,65.42,2021-07-20T11:14:26Z,2576,57.79
0.97,4,71.89,2021-07-20T11:13:13Z,2575,45.53
0.96,5,66.63,2021-07-20T11:08:34Z,2574,46.64
0.97,5,79.02,2021-07-20T11:07:25Z,2573,44.78
0.93,5,57.29,2021-07-19T17:57:00Z,2572,42.97
0.95,4,62.63,2021-07-19T17:47:17Z,2571,57.41
0.97,5,83.59,2021-07-19T17:45:49Z,2570,75.23
0.94,5,68.45,2021-07-19T17:43:58Z,2569,41.07
0.96,5,74.52,2021-07-19T17:43:01Z,2568,58.38
0.94,5,63.65,2021-07-19T17:41:57Z,2567,38.19
0.95,5,71.14,2021-07-19T17:40:59Z,2566,54.54
0.95,4,71.12,2021-07-19T17:39:57Z,2565,36.74
0.97,5,66.51,2021-07-19T14:23:52Z,2564,46.56
0.96,5,66.4,2021-07-19T14:23:03Z,2563,47.59
0.95,5,56.52,2021-07-19T11:35:18Z,2562,27.32
0.96,4,70.06,2021-07-19T11:31:41Z,2561,80.56
0.96,5,73.83,2021-07-19T11:30:17Z,2560,88.6
0.95,5,67.42,2021-07-18T16:31:26Z,2559,41.58
0.95,5,74.36,2021-07-18T16:30:19Z,2558,50.81
0.93,3,66.6,2021-07-18T16:29:31Z,2557,41.07
0.97,4,67.06,2021-07-18T13:23:01Z,2556,65.94
0.96,5,67.46,2021-07-18T11:44:11Z,2555,115.81
0.97,5,77.25,2021-07-18T11:42:21Z,2554,50.21
0.97,5,70.23,2021-07-18T11:41:28Z,2553,55.01
0.97,5,63.28,2021-07-18T11:13:50Z,2552,62.22
0.96,4,66.71,2021-07-18T11:12:41Z,2551,70.05
0.96,5,73.52,2021-07-18T10:56:45Z,2550,66.17
0.96,5,73.39,2021-07-18T10:54:48Z,2549,46.48
0.94,5,66.2,2021-07-18T10:53:49Z,2548,34.2
0.95,5,65.49,2021-07-16T14:36:47Z,2547,64.39
0.94,5,64.95,2021-07-16T14:35:34Z,2546,40.05
0.96,5,72.71,2021-07-16T14:30:12Z,2545,129.66
0.95,4,69.38,2021-07-16T14:28:27Z,2544,76.32
0.98,5,84.54,2021-07-16T14:27:13Z,2543,53.54
0.96,5,73.51,2021-07-16T14:21:04Z,2542,45.33
0.97,5,70.48,2021-07-16T14:20:13Z,2541,70.48
0.95,5,65.71,2021-07-16T14:12:25Z,2540,71.19
0.98,5,77.94,2021-07-16T14:11:04Z,2539,46.76
0.95,5,68.02,2021-07-16T14:05:40Z,2538,49.88
0.95,5,60.96,2021-07-16T14:03:43Z,2537,42.67
0.96,5,64.69,2021-07-15T13:28:59Z,2536,57.14
0.96,5,67.17,2021-07-15T13:27:46Z,2535,48.14
0.95,5,63.51,2021-07-15T12:22:12Z,2534,58.22
0.98,5,74.19,2021-07-15T12:19:25Z,2533,75.42
0.96,5,70.03,2021-07-15T12:18:18Z,2532,28.01
0.94,5,69.68,2021-07-15T12:17:34Z,2531,44.13
0.94,5,69.39,2021-07-14T14:27:02Z,2530,77.48
0.95,4,61.96,2021-07-14T13:38:38Z,2529,74.35
0.96,5,69.25,2021-07-14T13:36:18Z,2528,28.86
0.93,5,57.4,2021-07-14T13:35:39Z,2527,36.36
0.94,5,58.21,2021-07-14T13:34:39Z,2526,25.22
0.95,5,72.68,2021-07-14T13:33:14Z,2525,32.71
0.96,5,74.84,2021-07-14T13:25:47Z,2524,46.15
0.95,5,65.79,2021-07-14T13:21:04Z,2523,81.15
0.98,5,81.9,2021-07-14T13:19:32Z,2522,54.6
0.96,4,71.84,2021-07-14T13:18:41Z,2521,61.07
0.93,5,62.72,2021-07-14T13:17:38Z,2520,36.59
0.95,5,59.08,2021-07-14T13:16:18Z,2519,70.89
0.96,5,71.7,2021-07-14T11:59:49Z,2518,39.44
0.94,5,59.77,2021-07-14T11:57:44Z,2517,67.74
0.97,5,77.71,2021-07-14T11:55:06Z,2516,72.53
0.97,5,73.97,2021-07-14T11:48:45Z,2515,66.57
0.95,5,65.98,2021-07-14T11:47:38Z,2514,46.18
0.96,3,70.23,2021-07-14T11:45:55Z,2513,83.11
0.95,4,65.57,2021-07-13T12:15:27Z,2512,73.22
0.98,5,82.11,2021-07-13T12:14:07Z,2511,52
0.96,5,71.29,2021-07-13T12:12:52Z,2510,51.09
0.95,4,66.16,2021-07-12T19:15:53Z,2509,49.62
0.95,5,69.25,2021-07-12T17:59:44Z,2508,55.4
0.96,5,68.65,2021-07-12T17:58:39Z,2507,67.51
0.96,5,67.48,2021-07-12T17:57:03Z,2506,62.98
0.97,5,75.91,2021-07-12T17:55:57Z,2505,93.62
0.96,4,70.74,2021-07-12T17:41:23Z,2504,62.49
0.94,5,60.06,2021-07-12T14:34:32Z,2503,40.04
0.97,5,71.58,2021-07-12T14:33:31Z,2502,36.98
0.95,5,61.27,2021-07-12T14:21:38Z,2501,42.89
0.95,5,66.08,2021-07-12T14:20:39Z,2500,36.35
0.95,5,68.72,2021-07-12T14:19:56Z,2499,41.23
0.95,5,71.85,2021-07-12T14:05:10Z,2498,80.23
0.96,5,65.31,2021-07-12T14:03:51Z,2497,62.05
0.96,5,71.79,2021-07-12T14:02:33Z,2496,40.68
0.96,5,66.17,2021-07-12T12:38:24Z,2495,37.5
0.93,5,62.18,2021-07-12T12:37:31Z,2494,41.45
