accuracy,wpm,game_num,time,racers_num,points
0.97,98.34,2659,2021-09-23T23:01:20Z,4,111.45
0.97,111.74,2658,2021-09-23T23:00:23Z,4,162.02
0.97,104.73,2657,2021-09-23T22:59:19Z,4,80.29
0.98,113.7,2656,2021-09-23T22:57:20Z,5,87.17
0.97,102.39,2655,2021-09-23T22:56:32Z,4,92.15
0.97,96.24,2654,2021-09-23T22:55:42Z,5,85.01
0.97,99.1,2653,2021-09-23T22:52:22Z,3,99.1
0.99,115.89,2652,2021-09-23T22:51:33Z,5,131.34
1,125.84,2651,2021-09-23T22:46:55Z,5,83.9
0.97,99,2650,2021-09-23T22:46:24Z,5,70.95
0.98,115.04,2649,2021-09-23T22:45:07Z,5,99.7
0.97,109.31,2648,2021-09-23T22:44:26Z,5,92.92
0.98,108.64,2647,2021-09-23T22:43:38Z,4,121.31
0.98,116.49,2646,2021-09-23T22:42:49Z,5,260.16
0.97,107.24,2645,2021-09-23T22:40:12Z,5,60.77
0.97,100.23,2644,2021-09-23T22:37:52Z,5,85.19
0.99,131.05,2643,2021-09-23T22:37:03Z,5,50.24
0.98,107.49,2642,2021-09-21T20:59:59Z,5,71.66
0.98,107.88,2641,2021-09-21T20:59:29Z,4,122.27
0.97,108.65,2640,2021-09-21T20:58:32Z,3,119.51
0.97,105.82,2639,2021-09-21T20:57:38Z,5,77.6
0.98,113.93,2638,2021-09-21T20:56:54Z,4,117.73
0.99,124.68,2637,2021-09-21T20:54:29Z,5,103.9
0.99,125.9,2636,2021-09-21T20:53:42Z,5,92.33
0.98,99,2635,2021-09-21T20:53:07Z,5,46.2
1,141.68,2634,2021-09-21T20:52:31Z,5,94.45
0.96,101.09,2633,2021-09-19T17:09:45Z,3,121.3
1,128.33,2632,2021-09-19T17:08:54Z,5,104.8
0.98,109.84,2631,2021-09-18T17:33:53Z,5,122.65
0.97,105.2,2630,2021-09-18T17:33:09Z,4,70.13
0.97,105.87,2629,2021-09-18T17:32:29Z,5,58.23
0.98,112.5,2628,2021-09-17T21:09:06Z,5,58.13
0.97,94.26,2627,2021-09-17T21:06:41Z,5,42.42
0.98,103.32,2626,2021-09-17T02:05:40Z,4,115.37
0.98,112.55,2625,2021-09-17T02:04:45Z,5,99.42
0.99,128.5,2624,2021-09-17T02:03:59Z,4,87.81
0.99,122.8,2623,2021-09-17T01:46:20Z,5,155.55
0.97,106.49,2622,2021-09-17T01:43:55Z,5,120.69
0.97,92.06,2621,2021-09-17T01:42:41Z,5,50.63
1,122.95,2620,2021-09-17T01:41:27Z,4,65.57
0.98,113.81,2619,2021-09-16T21:07:28Z,5,79.66
0.97,108.71,2618,2021-09-16T21:06:29Z,4,92.41
0.97,99.79,2617,2021-09-16T21:05:44Z,5,49.9
0.98,124.17,2616,2021-09-16T21:05:18Z,5,95.2
0.98,99.75,2615,2021-09-16T21:04:47Z,4,69.82
0.98,129.26,2614,2021-09-16T21:04:02Z,5,53.86
0.98,120.19,2613,2021-09-16T21:03:02Z,5,112.18
0.98,120.3,2612,2021-09-16T21:01:08Z,5,78.2
0.99,115.85,2611,2021-09-16T20:59:46Z,5,108.13
1,123.47,2610,2021-09-16T20:58:31Z,5,111.12
0.97,112.3,2609,2021-09-16T20:57:54Z,5,80.48
0.97,101.86,2608,2021-09-16T20:56:17Z,5,101.86
0.97,110.71,2607,2021-09-16T20:55:27Z,5,95.95
0.97,100.21,2606,2021-09-16T20:54:47Z,5,66.81
0.98,109.97,2605,2021-09-16T20:54:02Z,5,71.48
0.99,126.56,2604,2021-09-15T23:14:24Z,5,78.05
0.98,112.43,2603,2021-09-15T23:13:56Z,5,118.05
0.98,106.1,2602,2021-09-15T01:50:40Z,3,146.77
0.97,106.94,2601,2021-09-15T00:53:23Z,4,55.25
0.96,96.76,2600,2021-09-15T00:52:53Z,5,56.44
0.98,115.18,2599,2021-09-15T00:52:16Z,2,74.87
0.96,102.93,2598,2021-09-15T00:51:43Z,5,60.04
0.98,114.6,2597,2021-09-15T00:50:02Z,5,160.44
0.98,108.77,2596,2021-09-12T15:12:32Z,5,72.51
0.98,112.42,2595,2021-09-12T15:07:01Z,5,138.65
0.97,98.51,2594,2021-09-12T15:05:34Z,5,39.4
0.98,112.38,2593,2021-09-12T15:05:05Z,4,125.49
0.97,94.99,2592,2021-09-12T15:04:15Z,5,64.91
0.99,118.42,2591,2021-09-12T15:03:39Z,5,98.69
0.99,118.2,2590,2021-09-12T15:02:55Z,5,92.59
0.99,117.7,2589,2021-09-12T15:01:47Z,2,80.43
0.97,114.28,2588,2021-09-12T15:01:15Z,5,80
0.97,115.05,2587,2021-09-12T00:04:25Z,5,76.7
0.96,105.63,2586,2021-09-11T21:58:04Z,5,86.26
0.98,115.56,2585,2021-09-11T21:57:20Z,5,123.26
0.98,109.9,2584,2021-09-11T21:56:26Z,4,106.24
0.98,101.91,2583,2021-09-11T21:55:02Z,3,113.8
0.99,118.12,2582,2021-09-11T21:54:09Z,4,82.68
0.98,115.83,2581,2021-09-11T21:53:38Z,2,156.37
0.97,109.52,2580,2021-09-11T21:52:35Z,3,100.4
0.99,111.27,2579,2021-09-11T20:33:00Z,5,92.72
0.97,109.78,2578,2021-09-11T20:32:20Z,4,117.1
0.99,115.22,2577,2021-09-11T20:31:29Z,3,71.05
0.97,111.04,2576,2021-09-11T20:30:58Z,5,116.59
0.99,122.51,2575,2021-09-11T20:29:49Z,4,85.76
0.97,106.01,2574,2021-09-11T20:29:21Z,5,137.81
0.97,113.16,2573,2021-09-11T20:28:22Z,4,73.56
0.99,119.76,2572,2021-09-11T20:27:50Z,5,51.9
0.99,115.75,2571,2021-09-11T20:27:24Z,5,86.81
0.99,121.51,2570,2021-09-11T20:26:37Z,5,125.56
0.98,105.75,2569,2021-09-11T20:25:53Z,5,93.41
0.98,126.91,2568,2021-09-11T20:25:11Z,5,109.99
0.98,105.57,2567,2021-09-11T20:24:11Z,2,135.49
0.99,121.71,2566,2021-09-09T00:54:45Z,5,60.85
0.96,96.94,2565,2021-09-09T00:53:50Z,5,61.39
0.97,118.04,2564,2021-09-09T00:52:56Z,4,96.4
0.99,116.85,2563,2021-09-09T00:52:17Z,4,114.9
0.98,103.47,2562,2021-09-09T00:50:17Z,3,125.89
0.99,116.14,2561,2021-09-08T22:31:49Z,3,83.24
0.97,98.74,2560,2021-09-08T22:28:43Z,4,111.9
0.99,111.46,2559,2021-09-08T22:25:53Z,5,128.18
0.98,121.08,2558,2021-09-08T22:25:07Z,4,94.84
0.97,103.35,2557,2021-09-08T22:16:14Z,5,55.12
0.97,100.79,2556,2021-09-08T22:14:15Z,5,115.91
0.98,109.21,2555,2021-09-08T22:13:19Z,5,61.88
0.98,104.26,2554,2021-09-08T22:11:43Z,5,79.93
0.97,110.01,2553,2021-09-08T21:43:15Z,3,108.18
0.98,108.77,2552,2021-09-08T21:32:15Z,4,155.91
0.99,106.93,2551,2021-09-08T21:31:17Z,4,105.15
0.98,111.13,2550,2021-09-08T02:17:16Z,4,129.66
